Date	Type
9.8.-1425T16:2:54	T
2.2.-1424T13:0:8	P
13.12.-1423T7:42:22	T
7.6.-1422T14:12:30	T
2.12.-1422T13:56:30	T
28.5.-1421T5:20:2	P
7.4.-1419T3:16:46	P
30.9.-1419T8:19:42	P
27.3.-1418T7:50:41	T
19.9.-1418T23:43:5	T
16.3.-1417T8:6:53	P
9.9.-1417T15:17:38	P
23.1.-1415T12:11:11	T
19.7.-1415T14:21:25	T
13.1.-1414T4:12:24	T
8.7.-1414T15:21:54	T
18.5.-1412T5:45:10	P
11.11.-1412T8:2:12	P
7.5.-1411T22:49:37	T
31.10.-1411T9:37:50	T
27.4.-1410T12:8:38	P
20.10.-1410T18:28:57	P
6.3.-1408T3:46:32	P
30.8.-1408T14:4:44	P
23.2.-1407T8:58:18	T
19.8.-1407T23:26:30	T
12.2.-1406T21:8:15	P
24.12.-1405T16:11:25	T
17.6.-1404T21:21:55	T
12.12.-1404T22:5:23	T
7.6.-1403T12:43:32	T
18.4.-1401T10:12:50	P
11.10.-1401T16:54:38	P
6.4.-1400T14:26:26	T
30.9.-1400T8:17:46	T
26.3.-1399T14:50:10	P
19.9.-1399T23:35:2	P
3.2.-1397T20:30:24	T
30.7.-1397T21:4:42	P
24.1.-1396T12:41:54	T
18.7.-1396T22:12:7	T
8.7.-1395T5:41:21	P
29.5.-1394T13:8:59	P
22.11.-1394T16:4:46	P
19.5.-1393T6:7:12	T
11.11.-1393T17:58:21	T
7.5.-1392T19:4:14	P
31.10.-1392T3:8:55	P
17.3.-1390T10:41:40	P
10.9.-1390T22:10:26	P
6.3.-1389T16:27:21	T
31.8.-1389T6:57:59	T
24.2.-1388T5:7:51	P
19.8.-1388T8:53:39	P
4.1.-1386T0:35:26	T
29.6.-1386T4:35:26	T
24.12.-1386T6:10:50	T
18.6.-1385T20:8:59	T
28.4.-1383T17:4:15	P
22.10.-1383T1:34:3	P
17.4.-1382T20:57:12	T
11.10.-1382T16:58:10	T
6.4.-1381T21:26:0	P
1.10.-1381T7:59:35	P
14.2.-1379T4:40:5	T
10.8.-1379T3:58:27	P
3.2.-1378T21:2:42	T
30.7.-1378T5:10:39	T
24.1.-1377T11:3:25	P
19.7.-1377T13:0:38	P
8.6.-1376T20:33:9	P
3.12.-1376T0:8:15	P
29.5.-1375T13:23:23	T
22.11.-1375T2:21:21	T
19.5.-1374T1:56:43	P
11.11.-1374T11:52:57	P
27.3.-1372T17:30:10	P
21.9.-1372T6:22:44	P
16.3.-1371T23:50:58	T
10.9.-1371T14:37:9	T
6.3.-1370T13:0:47	P
30.8.-1370T16:4:30	P
15.1.-1368T8:49:30	T
9.7.-1368T11:56:46	T
3.1.-1367T14:8:5	T
29.6.-1367T3:39:2	T
9.5.-1365T23:48:1	P
2.11.-1365T10:19:51	P
28.4.-1364T3:20:47	T
22.10.-1364T1:44:20	T
17.4.-1363T3:57:45	P
11.10.-1363T16:30:26	P
25.2.-1361T12:43:42	T
21.8.-1361T11:0:37	P
15.2.-1360T5:14:50	T
9.8.-1360T12:20:10	T
3.2.-1359T19:9:19	P
29.7.-1359T20:29:17	P
20.6.-1358T4:1:1	P
14.12.-1358T8:8:27	P
9.6.-1357T20:38:58	T
3.12.-1357T10:44:35	T
29.5.-1356T8:46:45	P
21.11.-1356T20:37:47	P
8.4.-1354T0:12:17	P
2.10.-1354T14:42:1	P
28.3.-1353T7:7:31	T
21.9.-1353T22:24:14	T
16.3.-1352T20:45:21	P
9.9.-1352T23:25:44	P
25.1.-1350T16:56:22	T
20.7.-1350T19:24:37	P
14.1.-1349T21:58:10	T
10.7.-1349T11:13:14	T
29.6.-1348T4:7:11	P
20.5.-1347T6:30:27	P
12.11.-1347T19:7:53	P
9.5.-1346T9:41:0	T
2.11.-1346T10:34:7	T
28.4.-1345T10:25:28	P
23.10.-1345T1:5:56	P
7.3.-1343T20:38:48	P
31.8.-1343T18:12:52	P
25.2.-1342T13:18:4	T
20.8.-1342T19:40:1	T
15.2.-1341T3:4:22	P
10.8.-1341T4:6:48	P
24.12.-1340T16:5:25	P
20.6.-1339T3:56:14	T
13.12.-1339T19:7:44	T
9.6.-1338T15:34:58	T
3.12.-1338T5:23:53	P
18.4.-1336T6:50:50	P
12.10.-1336T23:6:50	P
7.4.-1335T14:21:5	T
2.10.-1335T6:16:58	T
28.3.-1334T4:25:2	P
21.9.-1334T6:55:23	P
6.2.-1332T0:51:45	T
31.7.-1332T3:2:15	P
25.1.-1331T5:37:28	T
20.7.-1331T18:54:52	T
14.1.-1330T5:12:31	P
10.7.-1330T11:35:12	P
31.5.-1329T13:9:2	P
24.11.-1329T3:58:19	P
19.5.-1328T15:58:4	T
12.11.-1328T19:27:16	T
8.5.-1327T16:52:14	P
2.11.-1327T9:44:53	P
19.3.-1325T4:26:40	P
12.9.-1325T1:34:37	P
7.3.-1324T21:12:55	T
31.8.-1324T3:10:43	T
25.2.-1323T10:49:39	P
20.8.-1323T11:54:43	P
4.1.-1321T23:56:45	P
1.7.-1321T11:15:59	T
25.12.-1321T3:26:11	T
19.6.-1320T22:24:36	T
13.12.-1320T14:7:49	P
29.4.-1318T13:26:8	P
24.10.-1318T7:37:4	P
18.4.-1317T21:28:33	T
13.10.-1317T14:17:10	T
7.4.-1316T11:58:29	P
1.10.-1316T14:33:45	P
16.2.-1314T8:38:47	P
11.8.-1314T10:47:10	P
5.2.-1313T13:8:38	T
1.8.-1313T2:42:53	T
25.1.-1312T12:46:34	P
20.7.-1312T19:9:34	P
4.12.-1311T12:47:19	P
30.5.-1310T22:15:34	T
24.11.-1310T4:20:42	T
19.5.-1309T23:17:34	P
13.11.-1309T18:25:56	P
29.3.-1307T12:7:49	P
22.9.-1307T9:6:57	P
19.3.-1306T4:58:44	T
11.9.-1306T10:51:51	T
8.3.-1305T18:24:32	P
31.8.-1305T19:52:34	P
15.1.-1303T7:42:58	P
11.7.-1303T18:38:55	T
4.1.-1302T11:42:0	T
1.7.-1302T5:15:56	T
24.12.-1302T22:49:6	P
9.5.-1300T20:1:35	P
3.11.-1300T16:9:7	P
29.4.-1299T4:36:7	T
23.10.-1299T22:21:41	T
18.4.-1298T19:27:45	P
12.10.-1298T22:19:31	P
27.2.-1296T16:13:13	P
21.8.-1296T18:43:33	P
15.2.-1295T20:28:30	T
11.8.-1295T10:38:41	T
4.2.-1294T20:12:33	P
1.8.-1294T2:49:12	P
15.12.-1293T21:35:39	P
10.6.-1292T4:33:40	T
4.12.-1292T13:13:31	T
30.5.-1291T5:45:27	T
24.11.-1291T3:7:55	P
9.4.-1289T19:43:51	P
3.10.-1289T16:47:30	P
29.3.-1288T12:37:16	T
21.9.-1288T18:43:39	T
19.3.-1287T1:50:47	P
11.9.-1287T3:59:23	P
26.1.-1285T15:19:54	P
23.7.-1285T2:7:14	P
15.1.-1284T19:50:45	T
11.7.-1284T12:11:43	T
4.1.-1283T7:24:46	P
15.11.-1282T0:44:33	P
10.5.-1281T11:40:59	T
4.11.-1281T6:30:30	T
29.4.-1280T2:53:40	P
23.10.-1280T6:12:46	P
9.3.-1278T23:39:27	P
2.9.-1278T2:48:11	P
27.2.-1277T3:38:12	T
22.8.-1277T18:42:30	T
16.2.-1276T3:29:47	P
11.8.-1276T10:36:1	P
26.12.-1275T6:19:52	P
21.6.-1274T10:54:18	P
15.12.-1274T22:3:38	T
10.6.-1273T12:16:10	T
5.12.-1273T11:47:27	P
20.4.-1271T3:15:2	P
14.10.-1271T0:36:23	P
9.4.-1270T20:8:29	T
3.10.-1270T2:45:26	T
30.3.-1269T9:6:9	P
22.9.-1269T12:16:30	P
5.2.-1267T22:50:25	P
2.8.-1267T9:41:15	P
26.1.-1266T3:54:43	T
22.7.-1266T19:10:59	T
15.1.-1265T15:55:55	P
11.7.-1265T21:47:47	P
25.11.-1264T9:19:1	P
20.5.-1263T18:47:46	T
14.11.-1263T14:40:25	T
10.5.-1262T10:17:48	T
3.11.-1262T14:10:31	P
20.3.-1260T6:54:2	P
12.9.-1260T11:2:54	P
9.3.-1259T10:37:7	T
2.9.-1259T2:54:58	T
26.2.-1258T10:37:54	P
22.8.-1258T18:29:17	P
6.1.-1256T14:59:34	P
1.7.-1256T17:19:40	P
26.12.-1256T6:50:51	T
20.6.-1255T18:51:18	T
15.12.-1255T20:24:55	P
10.6.-1254T2:46:55	P
1.5.-1253T10:42:31	P
25.10.-1253T8:31:39	P
20.4.-1252T3:34:47	T
13.10.-1252T10:54:31	T
9.4.-1251T16:14:53	P
2.10.-1251T20:41:49	P
17.2.-1249T6:11:28	P
13.8.-1249T17:22:52	P
6.2.-1248T11:49:34	T
2.8.-1248T2:18:0	T
26.1.-1247T0:20:11	P
22.7.-1247T4:25:54	P
6.12.-1246T17:52:44	P
1.6.-1245T1:54:31	T
25.11.-1245T22:51:36	T
20.5.-1244T17:41:12	T
13.11.-1244T22:11:15	P
31.3.-1242T14:0:14	P
23.9.-1242T19:25:35	P
20.3.-1241T17:27:12	T
13.9.-1241T11:15:28	T
8.3.-1240T17:37:53	P
2.9.-1240T2:31:1	P
16.1.-1238T23:33:2	P
12.7.-1238T23:51:12	P
6.1.-1237T15:31:5	T
2.7.-1237T1:32:52	T
27.12.-1237T4:56:29	P
20.6.-1236T9:53:36	P
11.5.-1235T18:7:55	P
4.11.-1235T16:33:11	P
1.5.-1234T10:54:14	T
24.10.-1234T19:12:5	T
20.4.-1233T23:15:3	P
14.10.-1233T5:15:25	P
27.2.-1231T13:26:20	P
24.8.-1231T1:10:6	P
16.2.-1230T19:39:20	T
13.8.-1230T9:30:39	T
6.2.-1229T8:36:48	P
2.8.-1229T11:11:57	P
17.12.-1228T2:21:11	P
11.6.-1227T9:6:1	T
6.12.-1227T7:0:14	T
1.6.-1226T1:4:7	T
25.11.-1226T6:13:34	P
10.4.-1224T20:56:55	P
4.10.-1224T3:57:42	P
31.3.-1223T0:8:15	T
23.9.-1223T19:43:32	T
20.3.-1222T0:30:19	P
13.9.-1222T10:40:1	P
28.1.-1220T8:0:20	P
23.7.-1220T6:29:44	P
17.1.-1219T0:5:44	T
12.7.-1219T8:22:0	T
6.1.-1218T13:22:52	P
1.7.-1218T17:5:14	P
23.5.-1217T1:32:39	P
16.11.-1217T0:36:42	P
11.5.-1216T18:11:44	T
4.11.-1216T3:34:41	T
1.5.-1215T6:10:12	P
24.10.-1215T13:54:29	P
10.3.-1213T20:30:51	P
4.9.-1213T9:6:12	P
28.2.-1212T3:20:5	T
23.8.-1212T16:51:15	T
16.2.-1211T16:45:44	P
12.8.-1211T18:6:30	P
28.12.-1210T10:45:49	P
22.6.-1209T16:20:50	P
17.12.-1209T15:5:33	T
11.6.-1208T8:29:33	T
5.12.-1208T14:16:12	P
1.6.-1207T1:32:1	P
22.4.-1206T3:47:23	P
15.10.-1206T12:35:58	P
11.4.-1205T6:41:26	T
5.10.-1205T4:18:52	T
30.3.-1204T7:16:42	P
23.9.-1204T18:55:38	P
7.2.-1202T16:19:3	P
3.8.-1202T13:16:41	P
28.1.-1201T8:31:26	T
23.7.-1201T15:20:35	T
17.1.-1200T21:39:45	P
12.7.-1200T0:25:1	P
26.11.-1199T8:43:21	P
23.5.-1198T1:25:0	T
15.11.-1198T12:1:58	T
12.5.-1197T12:58:45	T
4.11.-1197T22:39:11	P
21.3.-1195T3:30:44	P
14.9.-1195T17:8:26	P
10.3.-1194T10:54:44	T
4.9.-1194T0:18:48	T
28.2.-1193T0:47:14	P
24.8.-1193T1:10:38	P
7.1.-1191T19:2:47	P
2.7.-1191T23:41:28	P
27.12.-1191T23:5:11	T
22.6.-1190T15:57:31	T
16.12.-1190T22:15:17	P
12.6.-1189T8:50:27	P
2.5.-1188T10:31:21	P
25.10.-1188T21:20:11	P
21.4.-1187T13:8:29	T
15.10.-1187T13:0:51	T
10.4.-1186T13:56:4	P
5.10.-1186T3:18:40	P
19.2.-1184T0:30:29	P
13.8.-1184T20:13:26	P
7.2.-1183T16:50:35	T
2.8.-1183T22:27:19	T
28.1.-1182T5:49:26	P
23.7.-1182T7:51:56	P
7.12.-1181T16:48:20	P
2.6.-1180T8:38:34	T
25.11.-1180T20:29:26	T
22.5.-1179T19:45:19	T
15.11.-1179T7:26:24	P
1.4.-1177T10:22:20	P
26.9.-1177T1:18:55	P
20.3.-1176T18:21:43	T
14.9.-1176T7:55:34	T
10.3.-1175T8:41:12	P
3.9.-1175T8:23:28	P
19.1.-1173T3:11:40	P
14.7.-1173T7:8:15	P
8.1.-1172T6:58:38	T
2.7.-1172T23:29:34	T
27.12.-1172T6:11:0	P
22.6.-1171T16:10:57	P
6.11.-1170T6:8:24	P
2.5.-1169T19:30:56	T
26.10.-1169T21:47:6	T
20.4.-1168T20:32:23	P
15.10.-1168T11:47:13	P
1.3.-1166T8:33:24	P
25.8.-1166T3:20:15	P
19.2.-1165T0:58:18	T
14.8.-1165T5:45:22	T
8.2.-1164T13:48:11	P
2.8.-1164T15:27:26	P
18.12.-1163T0:52:30	P
13.6.-1162T15:49:47	P
7.12.-1162T4:58:40	T
3.6.-1161T2:28:57	T
26.11.-1161T16:15:4	P
11.4.-1159T17:10:45	P
6.10.-1159T9:34:25	P
1.4.-1158T1:44:23	T
25.9.-1158T15:39:8	T
21.3.-1157T16:27:42	P
14.9.-1157T15:46:36	P
29.1.-1155T11:10:40	P
24.7.-1155T14:43:7	P
18.1.-1154T14:42:39	T
14.7.-1154T7:6:21	T
7.1.-1153T14:0:19	P
3.7.-1153T23:34:23	P
16.11.-1152T15:0:24	P
13.5.-1151T1:48:56	T
6.11.-1151T6:37:51	T
2.5.-1150T3:4:31	T
26.10.-1150T20:20:47	P
11.3.-1148T16:29:43	P
4.9.-1148T10:35:44	P
1.3.-1147T8:59:8	T
24.8.-1147T13:12:50	T
18.2.-1146T21:37:17	P
13.8.-1146T23:11:41	P
29.12.-1145T8:50:45	P
23.6.-1144T23:4:32	P
17.12.-1144T13:25:21	T
13.6.-1143T9:12:5	T
7.12.-1143T1:3:16	P
17.10.-1141T17:56:55	P
11.4.-1140T9:1:41	T
5.10.-1140T23:29:35	T
1.4.-1139T0:8:17	P
24.9.-1139T23:18:52	P
9.2.-1137T19:0:7	P
4.8.-1137T22:26:0	P
29.1.-1136T22:18:7	T
24.7.-1136T14:49:40	T
17.1.-1135T21:44:23	P
14.7.-1135T7:0:37	P
27.11.-1134T23:52:7	P
24.5.-1133T8:5:53	P
17.11.-1133T15:29:41	T
12.5.-1132T9:36:55	T
6.11.-1132T4:56:0	P
23.3.-1130T0:16:48	P
15.9.-1130T18:2:24	P
12.3.-1129T16:49:6	T
4.9.-1129T20:52:6	T
1.3.-1128T5:15:0	P
24.8.-1128T7:6:12	P
8.1.-1126T16:45:55	P
5.7.-1126T6:20:12	P
28.12.-1126T21:49:15	T
24.6.-1125T15:56:1	T
18.12.-1125T9:49:59	P
12.6.-1124T18:39:23	P
28.10.-1123T2:22:32	P
22.4.-1122T16:15:22	T
17.10.-1122T7:26:3	T
12.4.-1121T7:43:23	T
6.10.-1121T6:59:26	P
20.2.-1119T2:38:37	P
15.8.-1119T6:17:14	P
9.2.-1118T5:42:52	T
4.8.-1118T22:39:39	T
29.1.-1117T5:18:25	P
25.7.-1117T14:32:32	P
8.12.-1116T8:43:36	P
3.6.-1115T14:22:11	P
28.11.-1115T0:22:52	T
23.5.-1114T16:7:23	T
17.11.-1114T13:34:2	P
13.5.-1113T0:17:25	P
2.4.-1112T7:58:55	P
26.9.-1112T1:38:6	P
23.3.-1111T0:32:13	T
15.9.-1111T4:40:18	T
12.3.-1110T12:43:31	P
4.9.-1110T15:9:55	P
20.1.-1108T0:33:13	P
15.7.-1108T13:40:43	P
8.1.-1107T6:7:40	T
4.7.-1107T22:42:59	T
28.12.-1107T18:32:20	P
24.6.-1106T1:0:53	P
8.11.-1105T10:51:41	P
2.5.-1104T23:26:51	T
27.10.-1104T15:28:20	T
22.4.-1103T15:13:16	T
16.10.-1103T14:47:56	P
3.3.-1101T10:6:23	P
26.8.-1101T14:17:42	P
20.2.-1100T12:58:55	T
15.8.-1100T6:36:9	T
8.2.-1099T12:46:23	P
4.8.-1099T22:9:45	P
19.12.-1098T17:31:58	P
14.6.-1097T20:41:47	P
9.12.-1097T9:12:59	T
2.6.-1096T22:42:11	T
27.11.-1096T22:11:8	P
23.5.-1095T7:19:50	P
13.4.-1094T15:33:56	P
7.10.-1094T9:23:47	P
3.4.-1093T8:5:23	T
26.9.-1093T12:40:9	T
22.3.-1092T20:1:47	P
14.9.-1092T23:22:40	P
30.1.-1090T8:13:51	P
26.7.-1090T21:5:3	P
19.1.-1089T14:21:8	T
16.7.-1089T5:33:52	T
9.1.-1088T3:9:49	P
4.7.-1088T7:27:49	P
18.11.-1087T19:21:32	P
14.5.-1086T6:37:19	T
7.11.-1086T23:32:47	T
3.5.-1085T22:40:7	T
27.10.-1085T22:42:29	P
13.3.-1083T17:23:33	P
5.9.-1083T22:27:19	P
2.3.-1082T20:2:19	T
26.8.-1082T14:41:10	T
19.2.-1081T20:3:52	P
16.8.-1081T5:54:7	P
30.12.-1080T2:17:41	P
25.6.-1079T3:2:41	P
19.12.-1079T18:1:52	T
14.6.-1078T5:18:48	T
9.12.-1078T6:46:41	P
3.6.-1077T14:24:28	P
23.4.-1076T23:5:55	P
17.10.-1076T17:15:31	P
13.4.-1075T15:33:30	T
6.10.-1075T20:48:3	T
3.4.-1074T3:10:32	P
26.9.-1074T7:44:37	T
10.2.-1072T15:45:37	P
6.8.-1072T4:36:41	P
29.1.-1071T22:27:18	T
26.7.-1071T12:29:15	T
19.1.-1070T11:41:3	P
15.7.-1070T13:59:53	P
30.11.-1069T3:51:49	P
24.5.-1068T13:48:2	P
18.11.-1068T7:39:36	T
14.5.-1067T6:4:35	T
7.11.-1067T6:42:34	P
3.5.-1066T23:4:58	P
25.3.-1065T0:31:18	P
17.9.-1065T6:45:25	P
13.3.-1064T2:57:59	T
5.9.-1064T22:53:51	T
2.3.-1063T3:14:46	P
26.8.-1063T13:44:42	P
10.1.-1061T10:56:25	P
6.7.-1061T9:30:50	P
31.12.-1061T2:45:4	T
24.6.-1060T12:1:47	T
19.12.-1060T15:17:49	P
13.6.-1059T21:32:25	P
24.4.-1057T22:54:0	T
18.10.-1057T5:4:40	T
13.4.-1056T10:10:51	T
6.10.-1056T16:15:4	T
20.2.-1054T23:10:32	P
17.8.-1054T12:13:58	P
10.2.-1053T6:26:30	T
6.8.-1053T19:31:19	T
30.1.-1052T20:6:28	P
25.7.-1052T20:38:30	P
10.12.-1051T12:18:49	P
4.6.-1050T21:0:16	P
29.11.-1050T15:45:33	T
25.5.-1049T13:29:2	T
18.11.-1049T14:44:7	P
14.5.-1048T6:23:49	P
4.4.-1047T7:28:45	P
27.9.-1047T15:12:18	P
24.3.-1046T9:42:42	T
17.9.-1046T7:15:14	T
13.3.-1045T10:15:52	P
6.9.-1045T21:43:55	P
20.1.-1043T19:30:29	P
16.7.-1043T16:4:5	P
10.1.-1042T11:23:11	T
5.7.-1042T18:49:59	T
30.12.-1042T23:44:18	P
25.6.-1041T4:45:24	P
5.5.-1039T6:9:53	T
28.10.-1039T13:27:15	T
24.4.-1038T17:4:12	T
18.10.-1038T0:52:9	T
3.3.-1036T6:27:18	P
27.8.-1036T19:58:26	P
20.2.-1035T14:18:18	T
17.8.-1035T2:40:40	T
10.2.-1034T4:22:42	P
6.8.-1034T3:25:47	P
21.12.-1033T20:42:5	P
15.6.-1032T4:16:3	P
9.12.-1032T23:50:59	T
4.6.-1031T20:52:22	T
28.11.-1031T22:48:45	P
25.5.-1030T13:39:43	P
8.10.-1029T23:46:52	P
3.4.-1028T16:21:38	T
27.9.-1028T15:42:52	T
23.3.-1027T17:12:0	T
17.9.-1027T5:49:58	T
1.2.-1025T3:56:3	P
27.7.-1025T22:46:49	P
21.1.-1024T19:52:46	T
16.7.-1024T1:47:20	T
10.1.-1023T8:3:23	P
5.7.-1023T12:3:2	P
16.5.-1021T13:21:16	P
8.11.-1021T21:56:14	T
4.5.-1020T23:51:22	T
28.10.-1020T9:35:8	T
8.9.-1018T3:50:12	P
3.3.-1017T22:3:38	T
28.8.-1017T9:57:18	T
21.2.-1016T12:32:45	P
16.8.-1016T10:22:7	P
1.1.-1014T4:59:21	P
26.6.-1014T11:36:32	P
21.12.-1014T7:50:44	T
16.6.-1013T4:19:4	T
10.12.-1013T6:51:51	P
4.6.-1012T20:55:8	P
19.10.-1011T8:28:43	P
14.4.-1010T22:50:51	T
9.10.-1010T0:18:52	T
4.4.-1009T0:0:30	T
28.9.-1009T14:3:13	T
11.2.-1007T12:15:4	P
1.2.-1006T4:15:41	T
27.7.-1006T8:52:42	T
21.1.-1005T16:14:29	P
16.7.-1005T19:28:37	P
26.5.-1003T20:31:1	P
19.11.-1003T6:27:28	T
16.5.-1002T6:33:51	T
8.11.-1002T18:22:14	T
18.9.-1000T11:50:1	P
14.3.-999T5:40:48	T
7.9.-999T17:22:36	T
3.3.-998T20:33:44	T
27.8.-998T17:29:1	T
12.1.-996T13:10:30	P
6.7.-996T19:1:42	P
31.12.-996T15:47:8	T
26.6.-995T11:47:30	T
20.12.-995T14:53:25	P
16.6.-994T4:10:15	P
30.10.-993T17:14:48	P
25.4.-992T5:16:54	P
19.10.-992T8:59:46	T
14.4.-991T6:44:32	T
8.10.-991T22:22:39	T
22.2.-989T20:24:37	P
12.2.-988T12:29:23	T
6.8.-988T16:7:46	T
1.2.-987T0:16:18	P
27.7.-987T3:1:33	T
7.6.-985T3:39:17	P
30.11.-985T15:0:47	T
26.5.-984T13:13:32	T
19.11.-984T3:12:56	T
15.5.-983T15:53:33	P
29.9.-982T19:56:29	P
25.3.-981T13:12:57	T
19.9.-981T0:56:9	T
14.3.-980T4:29:13	T
7.9.-980T0:44:39	T
22.1.-978T21:11:35	P
18.7.-978T2:34:21	P
11.1.-977T23:34:51	T
7.7.-977T19:21:12	T
31.12.-977T22:49:31	P
26.6.-976T11:27:46	P
10.11.-975T2:5:51	P
6.5.-974T11:36:49	P
30.10.-974T17:46:10	T
25.4.-973T13:24:18	T
20.10.-973T6:48:27	T
13.4.-972T21:36:22	P
5.3.-971T4:27:44	P
22.2.-970T20:33:56	T
17.8.-970T23:32:58	T
12.2.-969T8:8:53	P
7.8.-969T10:42:59	T
17.6.-967T10:47:18	P
10.12.-967T23:33:23	T
6.6.-966T19:52:4	T
30.11.-966T12:3:16	T
26.5.-965T22:11:59	P
4.4.-963T20:38:42	T
29.9.-963T8:38:22	T
25.3.-962T12:15:12	T
18.9.-962T8:11:39	T
3.2.-960T5:4:24	P
28.7.-960T10:13:34	P
22.1.-959T7:16:3	T
18.7.-959T2:58:9	T
11.1.-958T6:41:45	P
7.7.-958T18:47:50	P
21.11.-957T10:58:45	P
16.5.-956T17:55:51	P
10.11.-956T2:34:54	T
5.5.-955T20:2:50	T
30.10.-955T15:17:56	T
25.4.-954T4:46:39	P
16.3.-953T12:22:24	P
5.3.-952T4:29:10	T
28.8.-952T7:9:15	T
22.2.-951T15:49:57	P
17.8.-951T18:33:21	T
28.6.-949T17:57:27	P
22.12.-949T8:5:33	T
17.6.-948T2:29:39	T
10.12.-948T20:54:20	T
6.6.-947T4:29:37	P
16.4.-945T4:1:26	T
10.10.-945T16:25:57	T
4.4.-944T19:57:9	T
28.9.-944T15:47:5	T
13.2.-942T12:45:43	P
8.8.-942T18:1:57	P
2.2.-941T14:46:5	T
29.7.-941T10:43:0	T
22.1.-940T14:26:36	P
18.7.-940T2:11:29	P
1.12.-939T19:52:36	P
28.5.-938T0:12:24	P
21.11.-938T11:26:22	T
17.5.-937T2:40:23	T
10.11.-937T23:50:10	T
5.5.-936T11:55:35	P
26.3.-935T20:9:43	P
16.3.-934T12:15:44	T
8.9.-934T14:55:43	T
5.3.-933T23:21:26	P
29.8.-933T2:33:22	T
17.8.-932T18:37:59	P
9.7.-931T1:10:17	P
1.1.-930T16:32:17	T
28.6.-930T9:9:30	T
22.12.-930T5:41:47	T
17.6.-929T10:49:50	P
26.4.-927T11:18:29	P
21.10.-927T0:21:12	T
16.4.-926T3:31:51	T
9.10.-926T23:31:57	T
5.4.-925T20:18:45	P
24.2.-924T20:18:14	P
19.8.-924T1:57:19	P
12.2.-923T22:8:44	T
8.8.-923T18:33:21	T
1.2.-922T22:4:15	T
29.7.-922T9:40:35	T
13.12.-921T4:44:21	P
7.6.-920T6:31:43	P
1.12.-920T20:16:55	T
27.5.-919T9:18:34	T
21.11.-919T8:23:25	T
16.5.-918T19:3:53	P
26.3.-916T19:53:20	T
18.9.-916T22:52:41	T
16.3.-915T6:41:42	T
8.9.-915T10:43:7	T
29.8.-914T2:45:2	P
20.7.-913T8:26:35	P
13.1.-912T0:55:32	T
8.7.-912T15:51:29	T
1.1.-911T14:26:23	T
27.6.-911T17:11:41	P
7.5.-909T18:35:30	P
1.11.-909T8:20:19	T
26.4.-908T11:3:25	T
20.10.-908T7:23:27	T
16.4.-907T3:48:1	P
9.10.-907T10:4:1	P
24.2.-905T5:19:57	T
20.8.-905T2:31:31	T
13.2.-904T5:33:26	T
8.8.-904T17:15:34	T
23.12.-903T13:34:6	P
18.6.-902T12:52:50	P
13.12.-902T5:6:1	T
7.6.-901T15:59:41	T
2.12.-901T16:56:59	T
27.5.-900T2:12:10	P
7.4.-898T3:22:41	T
30.9.-898T6:59:4	P
27.3.-897T13:53:39	T
19.9.-897T19:0:27	T
8.9.-896T10:59:19	P
30.7.-895T15:47:51	P
23.1.-894T9:11:21	T
19.7.-894T22:39:10	T
12.1.-893T23:3:50	T
8.7.-893T23:40:22	P
18.5.-891T1:49:58	P
11.11.-891T16:23:41	T
7.5.-890T18:30:9	T
31.10.-890T15:22:26	T
27.4.-889T11:11:42	P
20.10.-889T18:17:41	P
6.3.-887T12:21:58	T
30.8.-887T10:36:45	T
23.2.-886T12:55:6	T
20.8.-886T0:57:26	T
3.1.-884T22:19:25	P
28.6.-884T19:18:19	P
23.12.-884T13:51:18	T
17.6.-883T22:44:43	T
13.12.-883T1:26:46	T
7.6.-882T9:22:52	P
17.4.-880T10:44:38	P
10.10.-880T15:14:44	P
6.4.-879T20:53:51	T
30.9.-879T3:27:21	T
19.9.-878T19:22:0	P
3.2.-876T17:22:11	T
30.7.-876T5:30:24	T
23.1.-875T7:36:50	T
19.7.-875T6:14:8	T
29.5.-873T9:6:28	P
23.11.-873T0:26:49	T
18.5.-872T1:56:11	T
10.11.-872T23:25:6	T
7.5.-871T18:29:33	P
31.10.-871T2:38:5	P
17.3.-869T19:13:49	T
10.9.-869T18:50:58	T
5.3.-868T20:8:7	T
30.8.-868T8:46:3	T
14.1.-866T6:58:44	P
3.1.-865T22:32:24	T
29.6.-865T5:34:31	T
24.12.-865T9:53:23	T
17.6.-864T16:36:15	P
28.4.-862T18:1:1	P
21.10.-862T23:36:44	P
18.4.-861T3:48:10	T
11.10.-861T12:1:11	T
30.9.-860T3:51:26	P
14.2.-858T1:23:28	T
10.8.-858T12:30:19	T
3.2.-857T16:1:25	T
30.7.-857T12:56:4	T
8.6.-855T16:22:40	P
3.12.-855T8:31:17	T
29.5.-854T9:20:28	T
22.11.-854T7:30:50	T
19.5.-853T1:44:41	P
11.11.-853T11:4:10	P
28.3.-851T1:57:43	P
21.9.-851T3:12:8	T
17.3.-850T3:13:47	T
10.9.-850T16:42:17	T
6.3.-849T10:44:51	P
25.1.-848T15:31:28	P
14.1.-847T7:5:49	T
9.7.-847T12:30:58	T
3.1.-846T18:12:50	T
28.6.-846T23:55:4	T
9.5.-844T1:10:54	P
1.11.-844T8:6:4	P
28.4.-843T10:33:26	T
21.10.-843T20:42:26	T
17.4.-842T12:59:55	P
11.10.-842T12:28:31	P
25.2.-840T9:19:38	T
20.8.-840T19:36:8	T
