Date	Type
20.7.-1871T23:4:45	P
14.1.-1870T14:8:8	T
10.7.-1870T15:58:39	T
3.1.-1869T14:39:46	P
30.6.-1869T6:11:4	P
13.11.-1868T0:13:0	P
9.5.-1867T0:43:26	T
2.11.-1867T15:14:41	T
28.4.-1866T5:2:45	P
23.10.-1866T1:41:56	P
8.3.-1864T1:36:56	P
31.8.-1864T10:45:24	P
25.2.-1863T16:29:24	T
20.8.-1863T17:31:26	T
15.2.-1862T1:10:16	P
10.8.-1862T7:8:20	P
25.12.-1861T10:37:35	P
20.6.-1860T4:37:27	T
13.12.-1860T19:36:6	T
9.6.-1859T10:19:36	T
3.12.-1859T10:0:51	P
19.4.-1857T3:8:59	P
13.10.-1857T22:1:10	P
7.4.-1856T16:19:37	T
1.10.-1856T23:29:24	T
28.3.-1855T9:10:38	P
20.9.-1855T22:57:0	P
5.2.-1853T21:18:28	P
1.8.-1853T6:55:16	P
25.1.-1852T21:35:43	T
20.7.-1852T23:38:26	T
13.1.-1851T22:31:1	P
10.7.-1851T13:23:39	P
24.11.-1850T9:7:10	P
20.5.-1849T7:3:18	T
14.11.-1849T0:1:20	T
8.5.-1848T11:49:34	T
2.11.-1848T10:5:23	P
19.3.-1846T9:21:2	P
11.9.-1846T18:24:42	P
9.3.-1845T0:6:45	T
1.9.-1845T1:27:1	T
26.2.-1844T8:28:57	P
20.8.-1844T15:12:24	P
4.1.-1842T18:41:51	P
1.7.-1842T11:38:36	P
25.12.-1842T4:9:24	T
20.6.-1841T16:48:26	T
14.12.-1841T18:50:51	P
29.4.-1839T10:5:9	P
24.10.-1839T6:14:49	P
18.4.-1838T23:42:7	T
13.10.-1838T7:19:54	T
8.4.-1837T16:45:3	P
2.10.-1837T6:46:28	P
16.2.-1835T4:38:33	P
11.8.-1835T14:53:28	P
5.2.-1834T4:54:28	T
1.8.-1834T7:25:29	T
25.1.-1833T6:14:39	P
21.7.-1833T20:43:12	P
4.12.-1832T17:59:34	P
30.5.-1831T13:24:50	P
24.11.-1831T8:46:54	T
19.5.-1830T18:37:15	T
13.11.-1830T18:29:55	P
29.3.-1828T16:57:59	P
22.9.-1828T2:14:17	P
19.3.-1827T7:33:4	T
11.9.-1827T9:33:7	T
8.3.-1826T15:36:35	P
31.8.-1826T23:25:39	P
16.1.-1824T2:41:44	P
11.7.-1824T18:42:29	P
4.1.-1823T12:39:16	T
30.6.-1823T23:20:30	T
25.12.-1823T3:35:55	P
19.6.-1822T23:49:58	P
4.11.-1821T14:29:35	P
29.4.-1820T7:3:25	T
23.10.-1820T15:15:7	T
19.4.-1819T0:12:57	P
12.10.-1819T14:44:42	P
27.2.-1817T11:46:51	P
22.8.-1817T23:1:24	P
16.2.-1816T12:3:43	T
11.8.-1816T15:19:0	T
4.2.-1815T13:51:25	P
1.8.-1815T4:8:3	P
16.12.-1814T2:49:50	P
10.6.-1813T19:49:53	P
5.12.-1813T17:30:53	T
30.5.-1812T1:27:55	T
24.11.-1812T2:53:47	P
19.5.-1811T14:16:11	P
10.4.-1810T0:29:23	P
3.10.-1810T10:12:12	P
30.3.-1809T14:52:26	T
22.9.-1809T17:48:39	T
18.3.-1808T22:34:42	P
11.9.-1808T7:47:16	P
26.1.-1806T10:32:26	P
23.7.-1806T1:53:11	P
15.1.-1805T21:2:10	T
12.7.-1805T5:57:54	T
5.1.-1804T12:15:52	P
30.6.-1804T6:19:6	P
14.11.-1803T22:46:49	P
10.5.-1802T14:23:15	T
3.11.-1802T23:14:11	T
30.4.-1801T7:38:52	T
23.10.-1801T22:49:56	P
9.3.-1799T18:46:6	P
2.9.-1799T7:17:36	P
